SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO ANULADO E APURADO EM SEPARADO,VOTO BRANCO,VOTO NULO
AL,27855,MACEIÓ,3,41.81898922242196,121834,67795,54039,1,441,2183,10645,20726,5466,1048,2322,44918,713,48,33,1794,63,NA,3865,9136
AL,27855,MACEIÓ,3,41.81898922242196,121834,67795,54039,2,NA,NA,NA,36914,NA,NA,NA,53306,NA,NA,NA,NA,NA,NA,2085,8054
AL,27855,MACEIÓ,33,40.58318666528626,96593,52981,43612,1,313,1454,8984,13436,3218,789,1541,34349,721,22,19,1247,68,NA,2739,5967
AL,27855,MACEIÓ,33,40.58318666528626,96593,52981,43612,2,NA,NA,NA,25867,NA,NA,NA,41208,NA,NA,NA,NA,NA,NA,1658,5949
AL,27855,MACEIÓ,54,39.709162388341944,120572,66449,54123,1,314,2007,9605,18562,4125,983,2020,42143,714,35,28,1653,46,NA,3270,7618
AL,27855,MACEIÓ,54,39.709162388341944,120572,66449,54123,2,NA,NA,NA,33730,NA,NA,NA,50922,NA,NA,NA,NA,NA,NA,1971,7154
AL,27871,MAJOR ISIDORO,31,41.423271969433834,14396,7540,6856,1,20,35,629,6328,231,34,312,2220,54,2,1,37,3,NA,206,690
AL,27871,MAJOR ISIDORO,31,41.423271969433834,14396,7540,6856,2,NA,NA,NA,7264,NA,NA,NA,2379,NA,NA,NA,NA,NA,NA,88,441
AL,27898,MARAGOGI,14,39.126571457306646,19888,10416,9472,1,32,190,1001,4610,614,35,402,6551,38,1,2,104,5,NA,611,1147
AL,27898,MARAGOGI,14,39.126571457306646,19888,10416,9472,2,NA,NA,NA,6265,NA,NA,NA,7462,NA,NA,NA,NA,NA,NA,258,954
AL,27910,MARAVILHA,50,40.735377116469984,7796,3977,3819,1,9,19,691,3300,135,10,112,740,15,3,NA,23,3,NA,91,412
AL,27910,MARAVILHA,50,40.735377116469984,7796,3977,3819,2,NA,NA,NA,4341,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,47,248
