SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
RJ,58424,SEROPÉDICA,225,43.87350349713871,55045,28705,26273,2,0,0,0,10695,0,0,0,27258,0,0,0,0,0,930,3657
RS,85898,CANOAS,134,44.22338702804057,129063,68829,60234,1,741,804,14623,15946,3727,833,1730,54607,4168,49,30,1237,52,3389,3616
RS,86568,CHARRUA,100,46.166883963494136,2301,1151,1150,1,5,1,66,750,97,1,44,844,24,2,0,0,0,52,53
PI,10391,BURITI DOS LOPES,33,40.54334724153917,15099,7667,7432,2,0,0,0,9979,0,0,0,2191,0,0,0,0,0,139,428
SP,69299,PRESIDENTE PRUDENTE,101,47.76434656040469,83818,44649,38910,1,531,388,4193,6486,5302,189,628,37069,1679,9,18,445,16,1691,2785
PE,23477,BREJÃO,92,40.95646709323583,8752,4540,4212,1,6,28,684,4507,82,11,39,979,13,1,1,15,1,179,737
MT,90522,CLÁUDIA,32,42.93049645390071,7755,3726,4029,1,74,24,130,1069,266,10,45,3494,64,2,2,9,0,76,318
PA,5274,SANTA CRUZ DO ARARI,2,41.3019748095164,6431,3304,3121,1,1,12,92,2503,306,9,142,722,2,2,1,33,1,43,132
RJ,58335,DUQUE DE CAXIAS,126,42.97582782728949,104131,54817,49120,1,406,2967,7133,15085,1619,366,693,42899,393,28,50,889,39,3042,7567
SP,61409,NOVAIS,179,42.38998609179416,3595,1751,1844,2,0,0,0,729,0,0,0,1749,0,0,0,0,0,48,282
MG,40088,CARNEIRINHO,142,45.27272727272727,7700,3728,3972,1,37,27,284,2607,186,7,34,2327,203,2,0,6,3,74,265
PI,12165,CARIDADE DO PIAUÍ,56,39.204624277456645,4327,2087,2240,2,0,0,0,2911,0,0,0,384,0,0,0,0,0,31,144
RS,88323,HERVEIRAS,40,42.97140522875817,2448,1162,1286,2,0,0,0,1258,0,0,0,710,0,0,0,0,0,31,74
SP,61395,ANALÂNDIA,245,43.67152440434883,4323,2081,2242,2,0,0,0,556,0,0,0,2050,0,0,0,0,0,83,219
PI,12335,BELÉM DO PIAUÍ,68,41.589580209895054,2668,1329,1339,1,3,29,162,1781,32,2,20,200,2,0,1,9,1,37,116
SC,83038,SALTO VELOSO,36,43.97586980920314,3564,1787,1777,2,0,0,0,765,0,0,0,1874,0,0,0,0,0,66,217
SC,80403,PASSO DE TORRES,54,44.94701876764657,6021,3044,2976,1,34,26,347,746,201,25,54,2801,147,2,1,21,0,119,241
SP,71072,SÃO PAULO,248,43.250767349745914,157037,83723,73185,2,0,0,0,42211,0,0,0,62087,0,0,0,0,0,4059,16172
AL,28495,PORTO REAL DO COLÉGIO,37,40.32250877666757,14812,7678,7134,1,30,57,539,7940,265,17,296,1525,15,0,2,23,6,340,574
