SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
ES,56499,IBIRAÇU,14,43.27773649007326,9420,4872,4548,2,0,0,0,2349,0,0,0,4461,0,0,0,0,0,126,462
BA,34258,CANAVIEIRAS,116,43.8019780505791,23053,12003,11050,2,0,0,0,10644,0,0,0,5176,0,0,0,0,0,197,1049
MG,51853,SANTA RITA DE JACUTINGA,240,47.51531227393296,4147,2061,2086,2,0,0,0,1573,0,0,0,1435,0,0,0,0,0,76,316
MG,41238,BELO HORIZONTE,26,49.173033404613115,96335,52709,43600,1,433,317,16171,8589,1874,557,611,38136,4457,31,18,896,48,1281,2532
PE,23027,LAGOA DO CARRO,20,40.7354020421187,12536,6763,5773,1,22,126,949,5503,254,25,73,2727,37,0,0,65,0,271,1104
CE,13269,POTIRETAMA,86,43.10357606077451,5397,2651,2745,2,0,0,0,3579,0,0,0,433,0,0,0,0,0,32,121
RS,88013,PORTO ALEGRE,1,51.426856721015646,109723,61524,48199,2,0,0,0,35568,0,0,0,41776,0,0,0,0,0,2362,4082
PA,4170,AUGUSTO CORRÊA,52,38.86001657740373,31370,15806,15564,2,0,0,0,17073,0,0,0,5673,0,0,0,0,0,257,2072
MG,40657,ARACITABA,250,46.191326530612244,2352,1143,1207,2,0,0,0,794,0,0,0,539,0,0,0,0,0,60,209
PR,74187,BRASILÂNDIA DO SUL,128,44.922068463219226,2746,1413,1333,2,0,0,0,1155,0,0,0,1085,0,0,0,0,0,27,81
