SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
AL,28711,SÃO MIGUEL DOS CAMPOS,18,39.92501218167364,38995,20548,18447,1,117,532,3320,8981,1667,152,773,12115,151,5,10,378,21,789,2023
AL,28711,SÃO MIGUEL DOS CAMPOS,18,39.92501218167364,38995,20548,18447,2,0,0,0,13156,0,0,0,13765,0,0,0,0,0,552,2152
AL,28738,SÃO MIGUEL DOS MILAGRES,12,41.13731574864236,6446,3350,3096,2,0,0,0,2093,0,0,0,2021,0,0,0,0,0,83,296
AL,28754,SÃO SEBASTIÃO,49,39.963589343623006,24362,12722,11640,2,0,0,0,13577,0,0,0,3483,0,0,0,0,0,252,731
AL,28770,SATUBA,8,40.93792405063291,9877,5229,4648,1,23,137,797,2505,303,45,226,3276,36,2,4,92,12,293,468
AL,28770,SATUBA,8,40.93792405063291,9877,5229,4648,2,0,0,0,3531,0,0,0,3681,0,0,0,0,0,169,475
AL,28819,TAQUARANA,45,40.93912331621642,13438,7123,6315,1,14,26,818,5780,224,31,248,1639,40,1,2,49,2,283,792
AL,28835,TRAIPU,20,40.28741714152808,17199,8717,8482,1,28,58,653,8436,277,30,426,1337,30,4,1,57,6,168,696
AL,28835,TRAIPU,20,40.28741714152808,17199,8717,8482,2,0,0,0,9658,0,0,0,1508,0,0,0,0,0,112,520
AL,28851,UNIÃO DOS PALMARES,21,39.795661869045205,44402,23670,20732,2,0,0,0,19928,0,0,0,9943,0,0,0,0,0,487,1886
AL,28916,SENADOR RUI PALMEIRA,51,38.764466085381045,8832,4569,4263,1,10,13,419,4628,73,24,187,601,50,0,0,14,0,73,368
AL,28916,SENADOR RUI PALMEIRA,51,38.764466085381045,8832,4569,4263,2,0,0,0,5287,0,0,0,776,0,0,0,0,0,50,273
AL,28932,TEOTÔNIO VILELA,34,39.49419483374553,29112,15299,13813,2,0,0,0,12110,0,0,0,6684,0,0,0,0,0,356,1330
AM,2003,APUÍ,67,42.14886640434701,10674,4996,5676,1,42,34,362,2839,149,18,60,3077,7,0,7,30,3,104,247
AM,2003,APUÍ,67,42.14886640434701,10674,4996,5676,2,0,0,0,3046,0,0,0,3218,0,0,0,0,0,91,362
AM,2011,NOVO AIRÃO,34,38.922643343051504,10290,5114,5176,2,0,0,0,4289,0,0,0,3033,0,0,0,0,0,68,499
AM,2020,GUAJARÁ,45,41.144880402853545,9532,4593,4937,1,16,19,363,2590,365,12,67,2515,13,1,2,31,1,90,317
AM,2020,GUAJARÁ,45,41.144880402853545,9532,4593,4937,2,0,0,0,2782,0,0,0,2836,0,0,0,0,0,88,414
AM,2038,ANORI,33,40.102540368199115,9724,4717,5006,1,36,44,329,3955,106,11,60,2297,88,2,2,51,1,50,236
AM,2038,ANORI,33,40.102540368199115,9724,4717,5006,2,0,0,0,3681,0,0,0,2253,0,0,0,0,0,64,333
AM,2046,CAREIRO DA VÁRZEA,31,40.234089868532934,15290,7522,7768,2,0,0,0,7239,0,0,0,2795,0,0,0,0,0,117,607
AM,2070,AUTAZES,35,38.76616856419987,25296,12402,12894,1,37,77,995,12795,219,36,140,4675,52,0,7,94,4,139,602
AM,2070,AUTAZES,35,38.76616856419987,25296,12402,12894,2,0,0,0,12407,0,0,0,4509,0,0,0,0,0,153,1017
AM,2097,BARCELOS,18,40.588957639219416,10506,4953,5553,1,44,27,464,3529,237,58,90,1786,32,2,3,81,0,64,154
AM,2097,BARCELOS,18,40.588957639219416,10506,4953,5553,2,0,0,0,3608,0,0,0,1913,0,0,0,0,0,58,318
